area_code, dths_suic_0_74_1_no_1_08_12_12
105051100,16.0
105054800,25.9996716
105055200,38.3158369
105057201,13.1638092
105057204,56.8629519
105108500,25.9658721
105154150,33.7881467
105154450,16.671476
105156650,30.0823335
105157151,46.2000918
105157152,37.8909102
130157650,null
105057205,58.4282931
105057206,29.2632368
105106550,54.0
105108050,26.0
105200351,15.6470217
105200355,14.0014688
105201550,45.0654468
105200353,34.0215484
105252851,40.9020969
105252854,18.058427
105254901,42.629555
105254904,26.7603138
105301450,27.5165183
105301501,43.8769001
105301504,40.8344591
105308400,16.4523264
105403950,39.1667579
105406251,15.7274253
105406252,18.7338137
105350150,18.8716636
105450900,40.0925577
105453800,28.1306518
105351300,7.1265993
105351521,11.1857543
105351524,15.0
105456351,47.3355548
105456354,42.2801242
105357100,8.6756198
105400200,27.8629204
105406253,11.3845086
105406254,7.9242562
255100834,null
105530751,39.9234975
105530752,50.7902632
105530753,46.6182512
105554100,6.2540967
105554700,19.3933372
105555350,8.0
105555950,33.2996202
105556700,34.6872414
105558250,32.2515216
105604001,20.9038284
105604004,34.5611573
130103550,4.7368876
105604500,37.9668947
105607421,27.9407879
105607423,20.6332136
105607425,14.879319
105655150,11.0
105656370,23.0
105658000,57.9999998
105703101,30.0042584
105703104,69.9105058
105708551,40.4085473
105708554,39.6766864
110051720,44.3576516
110054651,36.8073176
110054653,27.8758947
110054655,38.9945945
110055050,38.8112671
110055903,26.4107874
110055904,25.0907257
110055905,34.4402132
110056400,38.6099196
110102700,10.0
110103050,7.0052104
130103660,null
110103320,24.0038506
110105650,9.0
110107000,12.5819139
110107620,13.9977134
115054400,13.0191093
115056900,40.0
115058451,45.9815717
115058454,45.0088508
115076951,31.9121582
115106952,64.0878397
115108350,22.9911604
120057554,35.745344
120057556,14.0861676
120074851,25.8915664
120100250,28.0292506
120101350,38.0695142
120104550,7.5053356
120104854,14.048476
120106611,6.8100922
120106612,15.6457638
120107558,14.1684884
125011801,33.3106342
