Suburb House  Medians Stats  Book Report 2015,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Change ,Change ,Growth PA
Locality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Prelim 2016,2014-2015,2005-2015,2005-2015
,,,,,,,,,,,,,,,
ABBOTSFORD,427000,448000,602500,600000,638500,700000,704000,700000,773000,862500,925000,771500,7,117,8
ABERFELDIE,534000,600000,735000,710000,775000,1046500,1003000,852500,947500,1045000,1185000,1200000,13,122,8.3
AIREYS INLET,459000,440000,430000,517500,512500,606000,680000,634000,664000,625500,677500,730000,8,48,4
AIRPORT WEST,311500,320000,381000,421000,455000,570000,555500,495000,530000,573500,630000,689500,10,102,7.3
ALBANVALE,210000,210000,215000,252000,280000,320000,317000,310000,313000,326500,345000,390000,6,64,5.1
ALBERT PARK,681000,777000,986500,1125000,1050000,1155000,1390000,1260000,1360000,1503000,1705000,1547500,13,150,9.6
ALBION,216000,235000,262000,322500,349000,440000,400000,379500,380000,432000,472000,527000,9,119,8.1
ALEXANDRA,200000,190000,207000,210000,220000,230000,255000,239000,261000,247500,285000,248000,15,43,3.6
ALFREDTON,283000,307500,300500,300000,300000,316000,333000,340000,360000,362000,340000,350000,-6,20,1.9
ALLANSFORD,210000,240000,230000,232000,242500,250500,330000,257500,282500,242500,259000,242000,7,23,2.1
ALPHINGTON,552500,687500,740000,804000,832500,1000000,992500,1000000,1107500,1028000,1271500,747500,24,130,8.7
ALTONA,330000,370000,416000,480000,499000,627000,510000,555000,570000,645000,715000,667500,11,117,8
ALTONA EAST,295000,310000,391500,412500,435000,560000,528000,550000,552000,607500,656000,NA,8,122,8.3
ALTONA MEADOWS,232000,252000,280000,310000,346500,386000,395000,375000,385000,413000,439000,452500,6,89,6.6
ALTONA NORTH,277000,290000,355000,401000,417000,515000,520000,487500,510000,553500,637500,531000,15,130,8.7
ANGLESEA,391000,410000,445000,455000,516500,580000,600500,595000,550000,612500,637000,652500,4,63,5
APOLLO BAY,350000,360000,415000,362500,430000,435000,495000,432500,450000,460000,435000,455000,-5,24,2.2
ARARAT,148000,145000,148500,145000,159500,174500,169000,165000,179500,201000,210000,240000,4,42,3.6
ARDEER,206000,214500,234000,275500,312000,382500,360000,342000,330000,360000,381500,455000,6,85,6.4
ARMADALE,801000,900000,1250000,1415000,1605000,1690000,1546500,1505000,1651000,1750000,2160000,1780000,23,170,10.4
ARMSTRONG CREEK,-,-,-,-,-,-,205000,362500,467500,441500,440000,457000,0,NA,NA
ARTHURS SEAT,370000,275000,385000,442500,410000,470000,662500,715000,480000,705000,820000,NA,16,122,8.3
ASCOT (BENDIGO),285000,263000,270000,275000,279000,330000,322000,350000,349500,339000,350000,340000,3,23,2.1
ASCOT VALE,425000,480000,600000,667000,622500,750000,734000,700000,742500,809500,880500,880000,9,107,7.6
ASHBURTON,517500,600000,811500,809000,787500,983500,890000,870000,993000,1200000,1452500,1600000,21,181,10.9
ASHWOOD,381000,434000,573000,604000,640000,745500,750000,682000,775000,884000,1140000,1315000,29,199,11.6
ASPENDALE,365000,400000,500000,507500,547500,640000,626500,607500,620000,690000,790500,757000,15,117,8
ASPENDALE GARDENS,377000,385000,435000,475000,497500,581000,550000,552000,586500,632000,715000,737500,13,90,6.6
ATTWOOD,291000,359500,365000,440000,485000,576000,592000,500000,537500,515000,601500,650000,17,107,7.5
AVENEL,184000,190000,206000,172500,212500,268500,221500,230500,231000,302000,245000,482500,-19,33,2.9
AVOCA,133500,130000,134000,167000,133000,144000,151000,181500,182500,174500,185000,177500,6,39,3.3
AVONDALE HEIGHTS,315000,330500,367500,440000,460000,576000,538000,536000,530000,565000,650000,710000,15,106,7.5
AVONSLEIGH,265000,270000,255000,318000,309000,321500,385500,345000,420000,355000,403000,570000,14,52,4.3
BACCHUS MARSH,228000,235000,248000,255000,278000,305000,328000,325000,335500,348000,354000,344000,2,55,4.5
BADGER CREEK,201000,215000,234500,234500,266500,295000,295000,295000,315000,325000,345000,390000,6,72,5.6
BAIRNSDALE,195500,200000,208000,210000,219000,230000,235000,231000,235000,242500,245000,250000,1,25,2.3
BALACLAVA,495000,540000,683000,782500,750000,916000,793500,717500,856000,943500,1033000,880000,9,109,7.6
BALCOMBE,450500,453000,476000,520000,539000,660000,725000,686000,712500,742500,870500,772000,17,93,6.8
BALLAN,200000,202500,200000,220000,250000,260000,310000,307500,352000,330000,359000,375000,9,80,6
BALLARAT CENTRAL,227000,227500,235000,240000,251000,280000,317500,313500,323000,330000,350000,397000,6,54,4.4
BALLARAT EAST,177500,175000,190000,195000,206000,225000,245000,255000,264500,265000,275000,280000,4,55,4.5
BALLARAT NORTH,217000,208000,222000,215000,230000,272000,275000,280000,296000,312000,312500,365000,0,44,3.7
BALNARRING,290000,281500,332500,385000,388500,474000,472500,501000,525000,545000,590000,627500,8,103,7.4
BALNARRING BEACH,470000,460000,635000,709000,710000,787500,630000,660000,750000,700000,887500,784000,27,89,6.6
BALWYN,746500,845000,1101000,1165000,1278500,1445000,1361000,1300000,1522500,1775000,2200000,1930000,24,195,11.4
BALWYN NORTH,605000,697000,895000,900000,980000,1134500,1100000,999000,1240000,1451000,1850000,1650000,27,206,11.8
BANDIANA,108000,117000,117000,369500,365000,347500,367000,345500,339000,355000,377500,377500,6,250,13.3
BANNOCKBURN,300000,296000,273500,286000,301500,342500,378000,351500,370000,405000,385000,390000,-5,28,2.5
BARANDUDA,280000,268000,292000,327000,312000,353000,340000,340000,345000,327500,322000,389500,-2,15,1.4
BARWON HEADS,376000,420000,463000,490000,500000,612000,607500,632500,747500,710000,771000,840000,9,105,7.5
BAXTER,215000,207500,226000,250000,280000,317000,320000,315000,330500,325000,338000,380000,4,57,4.6
BAYSWATER,270500,285000,329000,350000,370000,450000,449000,426500,457000,525000,627000,651000,19,132,8.8
BAYSWATER NORTH,274000,285000,330000,350000,371500,448500,433500,426500,470000,490000,580000,600000,18,112,7.8
BEACONSFIELD,328000,360000,360000,380000,415000,460000,498500,511500,483000,525000,558000,555000,6,70,5.5
BEACONSFIELD UPPER,322500,339500,405000,360000,373500,472000,437500,535000,470000,507500,606500,595000,19,88,6.5
BEAUFORT,113500,126000,154000,147500,167500,174500,142500,186000,187500,220000,207000,189000,-6,83,6.2
BEAUMARIS,667500,750000,890000,945000,918500,1110000,1050000,980000,1074000,1125000,1372500,1187500,22,106,7.5
BEECHWORTH,231500,265000,315000,264000,250000,310500,320000,305000,295000,295000,332000,365000,12,43,3.7
BELGRAVE,262500,280000,307500,334000,370000,380000,375000,390000,410000,426000,482500,426000,13,84,6.3
BELGRAVE HEIGHTS,287500,336000,335000,337500,363500,425000,382000,399000,430000,480000,595000,640500,24,107,7.5
BELGRAVE SOUTH,275000,355000,367500,369000,340000,490000,475000,447500,548000,541000,555500,547000,3,102,7.3
BELL PARK,218000,226000,225000,237000,256500,298000,312500,291000,315000,323500,340000,377500,5,56,4.5
BELL POST HILL,230000,230000,250000,245000,273500,310000,320000,328000,328000,333500,344500,345000,3,50,4.1
BELLBRIDGE,250000,270000,253000,250000,290000,316500,280000,318000,297500,355000,285000,301000,-20,14,1.3
BELLFIELD (GREATER MELBOURNE),305000,305000,373500,408000,459500,574000,550500,510000,500500,589000,700000,770000,19,130,8.7
BELMONT,240000,245000,260000,265000,290000,338000,345000,350000,360000,363000,395500,365000,9,65,5.1
BENALLA,185000,206000,203000,210000,210000,220000,225000,218000,228000,235500,223000,221000,-5,20,1.9
BENDIGO,200000,229500,254000,232000,235000,295000,290000,335000,340000,375000,355000,400000,-5,78,5.9
BENTLEIGH,502000,535000,720000,714000,742500,905000,875000,820000,900000,1050000,1216500,1170000,16,142,9.3
BENTLEIGH EAST,401500,445000,565500,595000,630500,760000,720000,680000,750000,849000,993500,975000,17,148,9.5
