,locality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,growth_pa
0,abbotsford,427000,448000,602500,600000,638500,700000,704000,700000,773000,862500,925000,8.0
1,aberfeldie,534000,600000,735000,710000,775000,1046500,1003000,852500,947500,1045000,1185000,8.3
2,aireys inlet,459000,440000,430000,517500,512500,606000,680000,634000,664000,625500,677500,4.0
3,airport west,311500,320000,381000,421000,455000,570000,555500,495000,530000,573500,630000,7.3
4,albanvale,210000,210000,215000,252000,280000,320000,317000,310000,313000,326500,345000,5.1
5,albert park,681000,777000,986500,1125000,1050000,1155000,1390000,1260000,1360000,1503000,1705000,9.6
6,albion,216000,235000,262000,322500,349000,440000,400000,379500,380000,432000,472000,8.1
7,alexandra,200000,190000,207000,210000,220000,230000,255000,239000,261000,247500,285000,3.6
8,alfredton,283000,307500,300500,300000,300000,316000,333000,340000,360000,362000,340000,1.9
9,allansford,210000,240000,230000,232000,242500,250500,330000,257500,282500,242500,259000,2.1
10,alphington,552500,687500,740000,804000,832500,1000000,992500,1000000,1107500,1028000,1271500,8.7
11,altona,330000,370000,416000,480000,499000,627000,510000,555000,570000,645000,715000,8.0
12,altona east,295000,310000,391500,412500,435000,560000,528000,550000,552000,607500,656000,8.3
13,altona meadows,232000,252000,280000,310000,346500,386000,395000,375000,385000,413000,439000,6.6
14,altona north,277000,290000,355000,401000,417000,515000,520000,487500,510000,553500,637500,8.7
15,anglesea,391000,410000,445000,455000,516500,580000,600500,595000,550000,612500,637000,5.0
16,apollo bay,350000,360000,415000,362500,430000,435000,495000,432500,450000,460000,435000,2.2
17,ararat,148000,145000,148500,145000,159500,174500,169000,165000,179500,201000,210000,3.6
18,ardeer,206000,214500,234000,275500,312000,382500,360000,342000,330000,360000,381500,6.4
19,armadale,801000,900000,1250000,1415000,1605000,1690000,1546500,1505000,1651000,1750000,2160000,10.4
20,armstrong creek,319416,319416,319416,319416,319416,319416,205000,362500,467500,441500,440000,
21,arthurs seat,370000,275000,385000,442500,410000,470000,662500,715000,480000,705000,820000,8.3
22,ascot (bendigo),285000,263000,270000,275000,279000,330000,322000,350000,349500,339000,350000,2.1
23,ascot vale,425000,480000,600000,667000,622500,750000,734000,700000,742500,809500,880500,7.6
24,ashburton,517500,600000,811500,809000,787500,983500,890000,870000,993000,1200000,1452500,10.9
25,ashwood,381000,434000,573000,604000,640000,745500,750000,682000,775000,884000,1140000,11.6
26,aspendale,365000,400000,500000,507500,547500,640000,626500,607500,620000,690000,790500,8.0
27,aspendale gardens,377000,385000,435000,475000,497500,581000,550000,552000,586500,632000,715000,6.6
28,attwood,291000,359500,365000,440000,485000,576000,592000,500000,537500,515000,601500,7.5
29,avenel,184000,190000,206000,172500,212500,268500,221500,230500,231000,302000,245000,2.9
30,avoca,133500,130000,134000,167000,133000,144000,151000,181500,182500,174500,185000,3.3
31,avondale heights,315000,330500,367500,440000,460000,576000,538000,536000,530000,565000,650000,7.5
32,avonsleigh,265000,270000,255000,318000,309000,321500,385500,345000,420000,355000,403000,4.3
33,bacchus marsh,228000,235000,248000,255000,278000,305000,328000,325000,335500,348000,354000,4.5
34,badger creek,201000,215000,234500,234500,266500,295000,295000,295000,315000,325000,345000,5.6
35,bairnsdale,195500,200000,208000,210000,219000,230000,235000,231000,235000,242500,245000,2.3
36,balaclava,495000,540000,683000,782500,750000,916000,793500,717500,856000,943500,1033000,7.6
37,balcombe,450500,453000,476000,520000,539000,660000,725000,686000,712500,742500,870500,6.8
38,ballan,200000,202500,200000,220000,250000,260000,310000,307500,352000,330000,359000,6.0
39,ballarat central,227000,227500,235000,240000,251000,280000,317500,313500,323000,330000,350000,4.4
40,ballarat east,177500,175000,190000,195000,206000,225000,245000,255000,264500,265000,275000,4.5
41,ballarat north,217000,208000,222000,215000,230000,272000,275000,280000,296000,312000,312500,3.7
42,balnarring,290000,281500,332500,385000,388500,474000,472500,501000,525000,545000,590000,7.4
43,balnarring beach,470000,460000,635000,709000,710000,787500,630000,660000,750000,700000,887500,6.6
