,region_id,english_only_2011,arabic_2011,chinese_2011,greek_2011,italian_2011,vietnamese_2011
0,abbotsford,3104,10,206,216,45,402
1,airport west,4475,57,134,269,942,18
2,albert park,10761,46,585,809,219,42
3,alexandra,5529,3,22,11,12,6
4,alfredton,7531,11,82,56,9,0
5,alphington  fairfield,5799,50,227,623,397,68
6,alps  east,0,0,0,0,0,0
7,alps  west,18,0,0,0,0,0
8,altona,8779,58,272,187,276,113
9,altona meadows,10933,592,593,580,547,551
10,altona north,5439,1582,435,764,984,607
11,ararat,7069,10,19,8,17,3
12,ararat region,2675,0,0,0,0,0
13,ardeer  albion,3019,125,251,83,135,609
14,armadale,6446,10,348,272,92,33
15,ascot vale,8753,221,480,356,656,424
16,ashburton ,5746,26,458,218,83,67
17,ashwood  chadstone,8887,132,2018,955,408,215
18,aspendale gardens  waterways,5690,32,528,362,155,230
19,avoca,3003,3,7,6,7,0
20,bacchus marsh,15509,27,29,62,101,38
21,bacchus marsh region,5038,0,8,9,30,4
22,bairnsdale,12128,3,52,7,129,31
23,ballarat,11141,24,99,26,49,9
24,ballarat  north,19879,33,103,28,98,13
25,ballarat  south,20443,104,176,25,39,21
26,balwyn,9891,42,2721,448,264,183
27,balwyn north,11910,125,3251,1230,711,235
28,bannockburn,4301,8,6,4,30,10
29,bayswater,8280,40,611,90,74,79
30,bayswater north,9734,40,204,65,76,81
31,beaconsfield  officer,7154,37,32,21,53,0
32,beaufort,3394,3,0,6,7,3
33,beaumaris,11191,26,123,192,100,17
34,beechworth,3643,3,11,0,16,3
35,belgrave  selby,8985,18,58,25,41,3
36,belmont,12026,28,119,64,147,6
37,benalla,9350,3,40,12,32,3
38,benalla region,3126,0,0,4,12,0
39,bendigo,13064,18,54,39,34,4
40,bendigo region  north,3855,3,0,4,15,5
41,bendigo region  south,5732,0,18,8,10,0
42,bentleigh  mckinnon,14791,78,1019,951,380,79
43,bentleigh east,17413,138,987,1994,647,125
44,berwick  north,18343,85,283,123,270,29
45,berwick  south,17202,229,588,134,170,45
46,blackburn,14595,46,1660,401,312,125
47,blackburn south,7075,23,1162,462,134,114
48,boronia  the basin,21071,51,556,107,198,67
49,box hill,9777,59,3966,276,235,209
50,box hill north,10307,53,2819,509,398,169
51,braeside,32,0,0,0,0,0
52,braybrook,5173,242,1616,177,215,3746
53,bright  mount beauty,11377,14,86,39,162,15
54,brighton ,17132,42,446,381,272,30
55,brighton east,11723,37,366,527,275,36
56,broadmeadows,4486,1915,177,161,223,272
57,brunswick,14196,666,775,1392,1422,179
58,brunswick east,5463,209,245,396,769,72
59,brunswick west,7778,399,440,799,898,109
60,bruthen  omeo,6628,3,9,6,28,6
61,bulleen,5254,188,1369,1075,1389,167
62,buloke,5926,7,16,3,8,5
63,bundoora  east,6190,171,722,324,415,100
64,bundoora  north,2565,224,543,254,284,86
65,bundoora  west,3086,188,501,372,454,77
66,buninyong,6158,9,22,3,13,0
67,bunyip  garfield,7543,0,0,7,72,0
68,burwood,5927,47,2052,508,182,219
69,burwood east,4860,40,1875,1101,274,248
70,cairnlea,2253,118,694,127,122,2308
71,california gully  eaglehawk,9348,11,17,9,10,0
72,camberwell,15469,68,1123,536,394,152
73,campbellfield  coolaroo,3925,3066,88,427,631,303
74,camperdown,3193,0,5,3,3,0
75,carlton,5754,344,3219,78,241,202
76,carlton north  princes hill,6324,60,209,176,429,23
77,carnegie,9265,38,1341,794,208,93
78,caroline springs,13092,510,960,449,505,1080
79,carrum  patterson lakes,8845,80,232,204,126,64
80,carrum downs,15043,114,129,145,127,57
81,castlemaine,8379,21,19,19,19,4
82,castlemaine region,7400,3,3,20,13,4
83,caulfield  north,13395,37,660,345,138,87
84,caulfield  south,10999,36,422,574,163,62
85,chelsea  bonbeach,10273,43,200,180,144,32
86,chelsea heights,4056,21,115,88,67,21
87,cheltenham  highett (east),14796,100,509,1077,394,39
88,cheltenham  highett (west),8055,58,143,320,107,8
89,chiltern  indigo valley,2635,0,0,0,7,0
90,chirnside park,7817,25,72,32,243,18
91,churchill,9993,3,192,21,74,13
92,clarinda  oakleigh south,5008,246,822,1707,430,276
93,clayton,5992,186,4206,1040,514,354
94,clayton south,3285,215,1499,1279,369,467
95,clifton springs,10586,3,30,35,65,3
96,cobram,5123,223,28,4,317,3
97,coburg,13251,1828,617,1832,2748,170
98,coburg north,3428,364,197,394,728,61
99,colac,10833,35,60,6,69,8
100,colac region,4920,0,3,7,9,0
101,collingwood,3637,136,292,163,48,494
102,corangamite  north,5069,0,8,3,5,3
103,corangamite  south,6947,3,10,4,16,0
104,corio  norlane,20171,88,111,107,245,242
105,craigieburn  mickleham,19668,1187,280,526,1199,106
106,cranbourne,14160,137,151,120,161,42
107,cranbourne east,5968,73,95,35,68,17
108,cranbourne north,10206,100,189,98,136,36
109,cranbourne south,5839,30,32,74,91,10
110,cranbourne west,6173,46,79,37,46,40
111,creswick  clunes,6879,3,12,16,19,0
112,croydon,25079,86,529,120,194,86
113,croydon hills  warranwood,15861,61,244,97,200,29
114,dandenong,7666,833,1038,313,469,252
115,dandenong north,9151,956,686,942,681,800
116,daylesford,7292,6,21,28,48,3
117,deer park  derrimut,8850,407,1063,387,499,2312
118,delacombe,5192,20,17,0,10,0
119,delahey,2938,205,548,171,134,839
120,dingley village,8267,51,135,368,154,107
121,docklands,3399,87,833,53,73,68
