,region_id,population_2011
0,abbotsford,4819
1,airport west,6931
2,albert park,15356
3,alexandra,5939
4,alfredton,8226
5,alphington  fairfield,8127
6,alps  east,0
7,alps  west,26
8,altona,11667
9,altona meadows,18640
10,altona north,12972
11,ararat,7961
12,ararat region,2855
13,ardeer  albion,7191
14,armadale,8694
15,ascot vale,13351
16,ashburton ,7498
17,ashwood  chadstone,16272
18,aspendale gardens  waterways,8644
19,avoca,3195
20,bacchus marsh,17017
21,bacchus marsh region,5475
22,bairnsdale,13076
23,ballarat,12447
24,ballarat  north,21561
25,ballarat  south,22654
26,balwyn,15476
27,balwyn north,19776
28,bannockburn,4614
29,bayswater,11141
30,bayswater north,11350
31,beaconsfield  officer,7956
32,beaufort,3728
33,beaumaris,12556
34,beechworth,4174
35,belgrave  selby,9881
36,belmont,13601
37,benalla,10035
38,benalla region,3282
39,bendigo,14871
40,bendigo region  north,4085
41,bendigo region  south,6051
42,bentleigh  mckinnon,20656
43,bentleigh east,25721
44,berwick  north,22019
45,berwick  south,22887
46,blackburn,19676
47,blackburn south,10520
48,boronia  the basin,24751
49,box hill,17919
50,box hill north,16335
51,braeside,46
52,braybrook,16173
53,bright  mount beauty,13155
54,brighton ,21091
55,brighton east,15221
56,broadmeadows,11776
57,brunswick,22834
58,brunswick east,8433
59,brunswick west,13141
60,bruthen  omeo,7121
61,bulleen,10815
62,buloke,6252
63,bundoora  east,9424
64,bundoora  north,5493
65,bundoora  west,6220
66,buninyong,6616
67,bunyip  garfield,8034
68,burwood,11010
69,burwood east,10148
70,cairnlea,8890
71,california gully  eaglehawk,9888
72,camberwell,19752
73,campbellfield  coolaroo,16018
74,camperdown,3370
75,carlton,15344
76,carlton north  princes hill,8248
77,carnegie,16263
78,caroline springs,26190
79,carrum  patterson lakes,10965
80,carrum downs,18970
81,castlemaine,9580
82,castlemaine region,8011
83,caulfield  north,19841
84,caulfield  south,16547
85,chelsea  bonbeach,12728
86,chelsea heights,5088
87,cheltenham  highett (east),20228
88,cheltenham  highett (west),10024
89,chiltern  indigo valley,2764
90,chirnside park,8959
91,churchill,11120
92,clarinda  oakleigh south,11614
93,clayton,18834
94,clayton south,11675
95,clifton springs,11329
96,cobram,6176
97,coburg,25011
98,coburg north,6668
99,colac,11592
100,colac region,5132
101,collingwood,6453
102,corangamite  north,5286
103,corangamite  south,7417
104,corio  norlane,25839
105,craigieburn  mickleham,34386
106,cranbourne,18551
107,cranbourne east,8117
108,cranbourne north,14541
109,cranbourne south,6607
110,cranbourne west,8748
111,creswick  clunes,7336
112,croydon,29119
113,croydon hills  warranwood,17681
114,dandenong,26571
115,dandenong north,21845
116,daylesford,8192
117,deer park  derrimut,22328
118,delacombe,5605
119,delahey,8412
120,dingley village,10013
121,docklands,7418
122,doncaster,18347
123,doncaster east,26948
124,donvale  park orchards,15244
125,doveton,10358
126,dromana,8742
127,drouin,12866
128,east bendigo  kennington,13454
129,east melbourne,6742
130,echuca,14154
131,edithvale  aspendale,11844
132,elsternwick,10724
133,eltham,22439
134,elwood,14363
135,emerald  cockatoo,17085
136,endeavour hills,25468
137,epping,27158
138,essendon  aberfeldie,24593
139,essendon airport,0
140,euroa,5723
141,fawkner,12645
142,ferntree gully,27902
143,fitzroy,10249
144,fitzroy north,11446
145,flemington,9172
146,flemington racecourse,179
147,flinders,5246
148,flora hill  spring gully,9162
149,footscray,13719
150,forest hill,10165
151,foster,8023
152,frankston,21963
153,frankston north,18879
154,frankston south,17202
155,french island,95
156,gannawarra,6278
157,geelong,12962
158,geelong west  hamlyn heights,18568
159,gisborne,10824
160,gladstone park  westmeadows,17094
161,glen iris  east,15870
162,glen waverley  east,20725
163,glen waverley  west,19053
164,glenelg ,8581
165,glenroy  hadfield,27626
166,golden plains  north,3934
167,golden plains  south,6008
168,gordon ,5312
169,greensborough,19992
170,greenvale  bulla,12075
171,grovedale,19303
172,hallam,10093
173,hamilton ,10044
174,hampton,16589
175,hampton park  lynbrook,23735
176,hastings  somers,20023
177,hawthorn,20923
178,hawthorn east,13533
179,healesville  yarra glen,12760
180,heathcote,4002
181,heidelberg  rosanna,14323
182,heidelberg west,13543
183,highton,19130
184,hillside,15467
185,hoppers crossing  north,18924
186,hoppers crossing  south,18503
187,horsham,15745
188,horsham region,3338
189,hughesdale,7106
190,hurstbridge,3454
191,irymple,6307
192,ivanhoe,11122
193,ivanhoe east  eaglemont,7569
194,kangaroo flat  golden square,18120
195,keilor,8230
196,keilor downs,13451
197,keilor east,24120
198,kensington,9700
199,kerang,3814
200,kew,23912
201,kew east,6207
202,keysborough,20009
203,kilmore  broadford,11897
204,kilsyth,8353
205,kinglake,3444
206,kings park ,13530
207,kingsbury,10908
208,knoxfield  scoresby,12912
209,koo wee rup,6429
210,korumburra,8530
211,kyabram,10447
212,kyneton,8719
213,lake king,0
214,lakes entrance,9468
