locality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,growth_pa
ABBOTSFORD,427000,448000,602500,600000,638500,700000,704000,700000,773000,862500,925000,8
ABERFELDIE,534000,600000,735000,710000,775000,1046500,1003000,852500,947500,1045000,1185000,8.3
AIREYS INLET,459000,440000,430000,517500,512500,606000,680000,634000,664000,625500,677500,4
AIRPORT WEST,311500,320000,381000,421000,455000,570000,555500,495000,530000,573500,630000,7.3
ALBANVALE,210000,210000,215000,252000,280000,320000,317000,310000,313000,326500,345000,5.1
ALBERT PARK,681000,777000,986500,1125000,1050000,1155000,1390000,1260000,1360000,1503000,1705000,9.6
ALBION,216000,235000,262000,322500,349000,440000,400000,379500,380000,432000,472000,8.1
ALEXANDRA,200000,190000,207000,210000,220000,230000,255000,239000,261000,247500,285000,3.6
ALFREDTON,283000,307500,300500,300000,300000,316000,333000,340000,360000,362000,340000,1.9
ALLANSFORD,210000,240000,230000,232000,242500,250500,330000,257500,282500,242500,259000,2.1
ALPHINGTON,552500,687500,740000,804000,832500,1000000,992500,1000000,1107500,1028000,1271500,8.7
ALTONA,330000,370000,416000,480000,499000,627000,510000,555000,570000,645000,715000,8
ALTONA EAST,295000,310000,391500,412500,435000,560000,528000,550000,552000,607500,656000,8.3
ALTONA MEADOWS,232000,252000,280000,310000,346500,386000,395000,375000,385000,413000,439000,6.6
ALTONA NORTH,277000,290000,355000,401000,417000,515000,520000,487500,510000,553500,637500,8.7
ANGLESEA,391000,410000,445000,455000,516500,580000,600500,595000,550000,612500,637000,5
APOLLO BAY,350000,360000,415000,362500,430000,435000,495000,432500,450000,460000,435000,2.2
ARARAT,148000,145000,148500,145000,159500,174500,169000,165000,179500,201000,210000,3.6
ARDEER,206000,214500,234000,275500,312000,382500,360000,342000,330000,360000,381500,6.4
ARMADALE,801000,900000,1250000,1415000,1605000,1690000,1546500,1505000,1651000,1750000,2160000,10.4
ARMSTRONG CREEK,0,0,0,0,0,0,205000,362500,467500,441500,440000,NA
ARTHURS SEAT,370000,275000,385000,442500,410000,470000,662500,715000,480000,705000,820000,8.3
ASCOT (BENDIGO),285000,263000,270000,275000,279000,330000,322000,350000,349500,339000,350000,2.1
ASCOT VALE,425000,480000,600000,667000,622500,750000,734000,700000,742500,809500,880500,7.6
ASHBURTON,517500,600000,811500,809000,787500,983500,890000,870000,993000,1200000,1452500,10.9
ASHWOOD,381000,434000,573000,604000,640000,745500,750000,682000,775000,884000,1140000,11.6
