region_id,english_only_2011,arabic_2011,chinese_2011,greek_2011,italian_2011,vietnamese_2011
Abbotsford,3104,10,206,216,45,402
Airport West,4475,57,134,269,942,18
Albert Park,10761,46,585,809,219,42
Alexandra,5529,3,22,11,12,6
Alfredton,7531,11,82,56,9,0
Alphington  Fairfield,5799,50,227,623,397,68
Alps  East,0,0,0,0,0,0
Alps  West,18,0,0,0,0,0
Altona,8779,58,272,187,276,113
Altona Meadows,10933,592,593,580,547,551
Altona North,5439,1582,435,764,984,607
Ararat,7069,10,19,8,17,3
Ararat Region,2675,0,0,0,0,0
Ardeer  Albion,3019,125,251,83,135,609
Armadale,6446,10,348,272,92,33
Ascot Vale,8753,221,480,356,656,424
Ashburton ,5746,26,458,218,83,67
Ashwood  Chadstone,8887,132,2018,955,408,215
Aspendale Gardens  Waterways,5690,32,528,362,155,230
Avoca,3003,3,7,6,7,0
Bacchus Marsh,15509,27,29,62,101,38
Bacchus Marsh Region,5038,0,8,9,30,4
Bairnsdale,12128,3,52,7,129,31
Ballarat,11141,24,99,26,49,9
Ballarat  North,19879,33,103,28,98,13
Ballarat  South,20443,104,176,25,39,21
Balwyn,9891,42,2721,448,264,183
Balwyn North,11910,125,3251,1230,711,235
Bannockburn,4301,8,6,4,30,10
Bayswater,8280,40,611,90,74,79
Bayswater North,9734,40,204,65,76,81
Beaconsfield  Officer,7154,37,32,21,53,0
Beaufort,3394,3,0,6,7,3
Beaumaris,11191,26,123,192,100,17
Beechworth,3643,3,11,0,16,3
Belgrave  Selby,8985,18,58,25,41,3
Belmont,12026,28,119,64,147,6
Benalla,9350,3,40,12,32,3
Benalla Region,3126,0,0,4,12,0
Bendigo,13064,18,54,39,34,4
Bendigo Region  North,3855,3,0,4,15,5
Bendigo Region  South,5732,0,18,8,10,0
Bentleigh  McKinnon,14791,78,1019,951,380,79
Bentleigh East,17413,138,987,1994,647,125
Berwick  North,18343,85,283,123,270,29
Berwick  South,17202,229,588,134,170,45
Blackburn,14595,46,1660,401,312,125
Blackburn South,7075,23,1162,462,134,114
Boronia  The Basin,21071,51,556,107,198,67
Box Hill,9777,59,3966,276,235,209
Box Hill North,10307,53,2819,509,398,169
Braeside,32,0,0,0,0,0
Braybrook,5173,242,1616,177,215,3746
Bright  Mount Beauty,11377,14,86,39,162,15
